You are now connected to database "nc_games" as user "adrian".
    owner     |                        title                         | review_id |    category     |                                                 review_img_url                                                  |       created_at        | votes | comment_count 
--------------+------------------------------------------------------+-----------+-----------------+-----------------------------------------------------------------------------------------------------------------+-------------------------+-------+---------------
 cooljmessy   | Velit tempor ullamco amet ipsum dolor voluptate.     |        14 | hidden-roles    | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    | 2021-02-05 11:27:26.563 |     3 |             0
 tickle122    | Kerplunk; Don't lose your marbles                    |        13 | dexterity       | https://images.pexels.com/photos/278888/pexels-photo-278888.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   | 2021-01-25 11:16:54.963 |     9 |             3
 jessjelly    | Super Rhino Hero                                     |        10 | dexterity       | https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   | 2021-01-22 11:35:50.936 |     7 |             2
 jessjelly    | Scrobble, no that's not a typo                       |        15 | strategy        | https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   | 2021-01-22 11:35:05.936 |     1 |             2
 weegembump   | Ticket To Ride                                       |        16 | deck-building   | https://images.pexels.com/photos/4691567/pexels-photo-4691567.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 | 2021-01-22 11:05:05.936 |     1 |             7
 grumpy19     | Scythe; you're gonna need a bigger table!            |         8 | engine-building | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    | 2021-01-22 10:37:04.839 |   100 |             1
 jessjelly    | Escape The Dark Sector                               |        24 | push-your-luck  | https://images.pexels.com/photos/596132/pexels-photo-596132.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   | 2021-01-18 10:09:05.61  |    11 |             5
 jessjelly    | Escape The Dark Castle                               |        23 | push-your-luck  | https://images.pexels.com/photos/2416463/pexels-photo-2416463.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 | 2021-01-18 10:09:05.41  |    18 |             2
 happyamy2016 | Karma Karma Chameleon                                |         3 | hidden-roles    | https://images.pexels.com/photos/5350049/pexels-photo-5350049.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 | 2021-01-18 10:01:42.151 |     5 |             5
 grumpy19     | JengARRGGGH!                                         |         2 | dexterity       | https://images.pexels.com/photos/4009761/pexels-photo-4009761.jpeg?auto=compress&cs=tinysrgb&dpr=3&h=750&w=1260 | 2021-01-18 10:01:41.251 |     5 |             3
 cooljmessy   | Build you own tour de Yorkshire                      |         6 | deck-building   | https://images.pexels.com/photos/258045/pexels-photo-258045.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   | 2021-01-18 10:01:41.251 |    10 |             2
 happyamy2016 | That's just what an evil person would say!           |         7 | hidden-roles    | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    | 2021-01-18 10:01:41.251 |     8 |             2
 happyamy2016 | One Night Ultimate Werewolf                          |         4 | hidden-roles    | https://images.pexels.com/photos/5350049/pexels-photo-5350049.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 | 2021-01-18 10:01:41.251 |     5 |             4
 happyamy2016 | A truly Quacking Game; Quacks of Quedlinburg         |         5 | push-your-luck  | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    | 2021-01-18 10:01:41.251 |    10 |             1
 tickle122    | Culture a Love of Agriculture With Agricola          |         1 | strategy        | https://images.pexels.com/photos/4917821/pexels-photo-4917821.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 | 2021-01-18 10:00:20.514 |     1 |             3
 grumpy19     | Proident tempor et.                                  |        11 | engine-building | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    | 2021-01-07 09:06:08.077 |     5 |             0
 happyamy2016 | Ganz Schon Clever                                    |        21 | roll-and-write  | https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   | 2020-09-13 15:19:28.077 |     8 |             2
 happyamy2016 | Twister                                              |        19 | roll-and-write  | https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   | 2020-09-13 15:19:28.077 |     8 |             2
 happyamy2016 | Occaecat consequat officia in quis commodo.          |        12 | roll-and-write  | https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   | 2020-09-13 15:19:28.077 |     8 |             1
 grumpy19     | Yahtzee                                              |        22 | roll-and-write  | https://images.pexels.com/photos/33968/pexels-photo.jpg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260            | 2020-09-13 15:19:20.077 |    18 |             3
 grumpy19     | Monopoly                                             |        20 | strategy        | https://images.pexels.com/photos/1314435/pexels-photo-1314435.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 | 2020-09-13 15:14:20.877 |     3 |             2
 tickle122    | Settlers of Catan: Don't Settle For Less             |         9 | strategy        | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    | 1970-01-10 03:08:38.4   |    16 |             2
 tickle122    | Nova Luna; Freak out in a moonage daydream, oh yeah! |        17 | strategy        | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    | 1970-01-10 02:56:38.4   |     6 |             3
 tickle122    | Reef                                                 |        18 | strategy        | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    | 1970-01-10 02:56:38.4   |     6 |             4
(24 rows)

